Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Hf-176/177;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Pb-206/204;Pb-207/204;Pb-208/204;Sm-147/Nd-14;Sr-87/86;Ra-226;U-238/235;V-51/50;Loss on Ignition;Comment
AN-G;Uncertainty;0.18;0.09;0.02;0.04;0.04;0.05;0.05;0.01;;0.01;;0.03;0.002;0.03;0.01;0.13;0.01;;0.00035728;0.000438465;0.000473044;0.000373428;0.0003105;;;0.1;;;;3.2;;;;;0.06;;0.4;35;2.4;3;0.02;1.3;0.2;0.14;0.03;20;0.03;1.9;0.17;;;0.03;;0.07;;;;80;0.2;1.8;0.01;0.02;15;0.1;;0.02;;0.1;3;;;40;1;;0.1;;0.2;;;;;0.3;0.8;;0.06;0.05;0.2;4;0.04;0.05;;;60;;0.02;;4;17;0.75;0.05;3;2.3;55;;;;;;;;;;;;;;;;;;
AN-G;Units;%;%;%;%;%;%;%;%;;%;;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;%;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;%;
AN-G;N;115;119;21;127;127;61;35;59;;112;;116;112;114;77;112;111;2;47;68;71;55;46;;3;115;;;2;47;10;2;5;;119;;32;9;58;68;16;54;9;8;27;25;127;22;9;;;15;;10;3;;;112;33;26;22;116;112;11;;114;15;23;63;;;77;27;;;;38;;;;9;9;27;;112;26;7;71;13;18;;13;111;;8;9;44;14;39;28;55;46;21;;;;;;;;;;;;;;;;;45;
AN-G;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Not provided by compiler;Working value;Working value;Working value;Working value;Working value;Recommended value;Not provided by compiler;Working value;Provisional value;Provisional value;Not provided by compiler;Working value;Provisional value;Not provided by compiler;Not provided by compiler;;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;Provisional value;Working value;Not provided by compiler;Provisional value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Provisional value;Working value;Working value;;;Working value;Working value;;Working value;;Working value;;;;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;;Provisional value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;Provisional value;
BCR-1;Concentration;13.65;6.95;0.03;3.59;13.42;8.88;0.75;0.81;1.59;1.69;;3.48;0.177;3.27;0.36;54.11;2.24;0.0009982;0.08;2.34E-03;3.90E-02;1.61E-02;0.02565;100.16;0.027;7.22;0.65;0.00066;3.1;681;1.6;0.047;0.072;80;4.97;0.13;53.7;59;37;16;0.96;19;6.34;3.63;1.95;490;9.38;22;6.68;1.5;;4.95;0.0079;1.26;0.18;0.092;0.000004;1.4;24.9;12.9;0.51;2.1;1370;1.6;34;2.43;14;28.8;13;45.1;0.000009;1560;13.6;bdl;6.8;0.002;47.2;0.00084;0.00023;0.001;410;0.62;32.6;0.088;25.27;6.59;2.7;330;0.81;1.05;0.0049;5.98;1.34;0.3;0.56;1.75;407;0.44;38;3.38;129.5;190;;;0.282;1.1406;0.51264;0.34852;0.7226;0.2421;0.2364;18.81;15.62;38.7;0.1371;0.70501;0.56;138;404.04;1.67;
BCR-1;Detection limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCR-1;Uncertainty;0.25;0.15;0.02;0.28;0.36;0.15;0.19;0.22;0.12;0.04;;0.13;0.01;0.12;0.02;0.36;0.1;0.0005152;0.002;5.85E-04;5.91E-04;6.22E-05;0.00081;0.67;0.003;0.13;0.085;0.00017;1.6;15;0.3;0.002;0.025;40;0.11;0.008;0.7;8;2;4;0.02;5;0.13;0.08;0.04;50;0.25;2;0.12;0.13;;0.28;0.0022;0.12;0.008;0.006;0.000002;0.03;0.8;0.4;0.025;0.08;90;0.4;12;0.09;3;0.5;4;0.4;0.000001;100;0.1;;0.5;;0.6;0.00006;;;50;0.1;2.2;0.013;0.17;0.12;1.1;5;0.13;0.1;0.0017;0.06;0.06;0.03;0.04;0.12;34;0.08;5;0.07;0.5;6;;;;0.002;0.00003;0.00025;0.0013;0.0009;;0.02;0.01;0.03;0.0013;0.00008;;;;;
BCR-1;Units;%;%;%;%;%;%;%;%;%;%;;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;pCi/g;;;%;
BCR-1;N;186;202;23;41;244;60;35;35;26;236;;189;226;187;106;154;203;9;210;172;217;159;135;;55;186;25;61;9;210;22;40;27;23;202;56;266;26;214;172;103;138;143;107;269;40;244;73;135;40;;102;28;91;6;43;21;236;249;59;215;189;226;35;6;187;63;231;155;18;3;106;99;8;55;2;218;30;2;2;22;80;126;53;154;264;31;217;81;175;24;149;203;52;73;117;143;16;97;263;159;135;;;1;3;93;5;3;3;1;13;12;13;5;10;1;1;1;1;
BCR-1;Data Quality;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Certified value equivalent;;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Certified value equivalent;Certified value equivalent;Provisional value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Provisional value;Certified value equivalent;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;;Certified value equivalent;Recommended value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Certified value equivalent;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Provisional value;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Certified value equivalent;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Provisional value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Certified value equivalent;;;Provisional value;Provisional value;Not provided by compiler;Provisional value;Provisional value;Provisional value;Provisional value;Not provided by compiler;Not provided by compiler;Not provided by compiler;Provisional value;Not provided by compiler;Provisional value;Provisional value;Provisional value;Provisional value;
BE-N;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;Oxide Sum;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Ag;Al;As;Au;B;Ba;Be;Bi;Br;Ca;Carbon-Total;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Hg;Ho;I;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Nd;Ni;P;Pb;Pd;Pr;Pt;Rb;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Loss on Ignition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE-N;Concentration;10.07;13.87;0.74;5.34;12.84;6.74;2.24;0.50;1.39;13.15;0.20;3.18;1.05;38.20;2.61;99.34;0.002254;0.1144413;0.0526158;0.1620176;0.01493712;0.0351;0.05;5.33;1.8;0.002;7;1025;1.9;0.03;0.6;9.92;2020;0.12;152;200;60;360;0.8;72;6.4;2.5;3.6;1000;8.98;17;9.7;1.2;5.6;0.04;1.1;0.2;0.08;1.15;82;13;0.24;7.93;1550;2.8;2.36;105;67;267;4580;4;0.0005;17.5;0.0008;47;300;0.26;22;0.1;17.84;12.2;2;1370;5.7;1.3;10.4;1.56;0.04;0.34;2.4;235;29;30;1.8;120;260;2.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE-N;Uncertainty;0.08;0.22;0.09;0.13;0.06;0.08;0.13;0.04;0.02;0.08;0.004;0.04;0.03;0.12;0.03;;;0.0033495;0.00175386;0.002956525;0.001618188;0.00135;;0.04;0.03;;;30;0.5;;;0.16;240;;4;;2;12;0.1;3;0.2;0.1;0.18;60;0.04;2;0.6;;0.16;;0.13;;;0.02;1.5;1.3;0.03;0.05;30;0.3;0.03;8;1.5;7;130;2;;0.6;;2;;0.05;1.5;;0.06;0.3;0.3;25;0.4;0.1;0.65;0.02;;0.04;0.18;10;5.6;1.5;0.2;13;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE-N;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE-N;N;115;12;27;55;130;61;36;61;118;116;116;116;92;113;117;;4;68;71;78;61;60;3;115;13;3;4;68;8;2;4;12;27;7;51;12;62;71;22;56;18;15;36;28;130;22;22;;23;;12;1;;118;48;28;26;116;116;9;116;36;36;67;92;31;1;11;1;76;11;10;30;4;113;36;7;78;20;24;39;117;;11;30;47;15;45;36;61;60;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE-N;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Not provided by compiler;Working value;Working value;Working value;Working value;Working value;Not provided by compiler;Working value;Working value;Not provided by compiler;Not provided by compiler;Working value;Working value;Not provided by compiler;Not provided by compiler;Working value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Provisional value;Working value;Not provided by compiler;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Not provided by compiler;Working value;Not provided by compiler;Working value;Provisional value;Working value;Working value;Not provided by compiler;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BHVO-1;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;H2O-T;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;Oxide Sum;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Carbon-Inorga;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Hg;Ho;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Nd-143/144;Sr-87/86;;;;;;;;;;;;;;;;;;;;
